region,year,rainfall
MARATWADA ,1955,1151.3
VIDARBHA,1955,1368.7
CHATTISGARH,1955,1436.8
COSTAL ANDHRA PRADESH,1955,1167.5
TELENGANA,1955,1129.5
RAYALSEEMA,1955,765.4
TAMIL NADU & PONDICHERRY,1955,1060.6
COASTAL KARNATAKA,1955,3552.5
NORTH INTERIOR KARNATAKA,1955,967.1
SOUTH INTERIOR KARNATAKA,1955,1003.6
KERALA,1955,3134.6
LAKSHADWEEP ,1955,1548.3
ANDAMAN & NICOBAR ISLANDS,1956,3079.9
ASSAM & MEGHALAYA,1956,3119.6
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1956,3022.7
SUB-HIMALAYAN W BENGAL & SIKKIM,1956,2885.4
GANGETIC WEST BENGAL,1956,1714.2
ORISSA,1956,1885.4
JHARKHAND,1956,1555.7
BIHAR ,1956,1492.8
EAST UTTAR PRADESH,1956,1254.1
WEST UTTAR PRADESH,1956,1060.2
UTTARANCHAL,1956,1938.4
"HARYANA, DELHI & CHANDIGARH",1956,649.5
PUNJAB ,1956,750.5
HIMACHAL PRADESH,1956,1541.6
WEST RAJASTHAN ,1956,374.1
EAST  RAJASTHAN ,1956,923.8
EAST MADHYA PRADESH,1956,1515.9
"GUJARAT REGION, DADRA & NAGAR HAVELI",1956,1365.9
SAURASHTRA KUTCH & DIU,1956,760.5
KOKAN & GOA,1956,3700.5
MADHYA MAHARASHTRA,1956,1233.8
MARATWADA ,1956,1037.3
VIDARBHA,1956,1124.6
CHATTISGARH,1956,1563.4
COSTAL ANDHRA PRADESH,1956,1345.3
TELENGANA,1956,1153.2
RAYALSEEMA,1956,884.5
TAMIL NADU & PONDICHERRY,1956,989.8
COASTAL KARNATAKA,1956,3856.4
NORTH INTERIOR KARNATAKA,1956,1038.9
SOUTH INTERIOR KARNATAKA,1956,1243.2
KERALA,1956,2798.3
LAKSHADWEEP ,1956,1287.4
ANDAMAN & NICOBAR ISLANDS,1957,2512.7
ASSAM & MEGHALAYA,1957,2387.6
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1957,2303.9
SUB-HIMALAYAN W BENGAL & SIKKIM,1957,2225.5
GANGETIC WEST BENGAL,1957,1130.6
ORISSA,1957,1277.5
JHARKHAND,1957,1377.4
BIHAR ,1957,966
EAST UTTAR PRADESH,1957,955.7
WEST UTTAR PRADESH,1957,1004.7
UTTARANCHAL,1957,1776.3
"HARYANA, DELHI & CHANDIGARH",1957,608.7
PUNJAB ,1957,710.5
HIMACHAL PRADESH,1957,1822.6
WEST RAJASTHAN ,1957,267.3
EAST  RAJASTHAN ,1957,665.1
EAST MADHYA PRADESH,1957,1000.8
"GUJARAT REGION, DADRA & NAGAR HAVELI",1957,655.8
SAURASHTRA KUTCH & DIU,1957,417.4
KOKAN & GOA,1957,3074.4
MADHYA MAHARASHTRA,1957,849.8
MARATWADA ,1957,900.6
VIDARBHA,1957,1071
CHATTISGARH,1957,1218
COSTAL ANDHRA PRADESH,1957,935.3
TELENGANA,1957,898.5
RAYALSEEMA,1957,539.3
TAMIL NADU & PONDICHERRY,1957,867
COASTAL KARNATAKA,1957,3174.8
NORTH INTERIOR KARNATAKA,1957,837.9
SOUTH INTERIOR KARNATAKA,1957,1066.3
KERALA,1957,3103.2
LAKSHADWEEP ,1957,1347.2
ANDAMAN & NICOBAR ISLANDS,1958,2807.4
ASSAM & MEGHALAYA,1958,2828.9
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1958,1968.5
SUB-HIMALAYAN W BENGAL & SIKKIM,1958,2820.2
GANGETIC WEST BENGAL,1958,1151.1
ORISSA,1958,1624
JHARKHAND,1958,1180.5
BIHAR ,1958,1163.3
EAST UTTAR PRADESH,1958,1016.9
WEST UTTAR PRADESH,1958,1169.7
UTTARANCHAL,1958,1495.6
"HARYANA, DELHI & CHANDIGARH",1958,676.8
PUNJAB ,1958,828
HIMACHAL PRADESH,1958,1572.3
WEST RAJASTHAN ,1958,264.1
EAST  RAJASTHAN ,1958,735.9
EAST MADHYA PRADESH,1958,1171.5
"GUJARAT REGION, DADRA & NAGAR HAVELI",1958,1124.5
SAURASHTRA KUTCH & DIU,1958,573.4
KOKAN & GOA,1958,4012.4
MADHYA MAHARASHTRA,1958,1054.1
MARATWADA ,1958,1024.4
VIDARBHA,1958,1172.1
CHATTISGARH,1958,1504
COSTAL ANDHRA PRADESH,1958,1294.7
TELENGANA,1958,1051.9
RAYALSEEMA,1958,715.7
TAMIL NADU & PONDICHERRY,1958,852.5
COASTAL KARNATAKA,1958,3687.5
NORTH INTERIOR KARNATAKA,1958,751.9
SOUTH INTERIOR KARNATAKA,1958,1210.1
KERALA,1958,2923.1
LAKSHADWEEP ,1958,992.6
ANDAMAN & NICOBAR ISLANDS,1959,3343.4
ASSAM & MEGHALAYA,1959,2640.2
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1959,2327.6
SUB-HIMALAYAN W BENGAL & SIKKIM,1959,2580.2
GANGETIC WEST BENGAL,1959,1812.6
ORISSA,1959,1495.8
JHARKHAND,1959,1599.9
BIHAR ,1959,1179.7
EAST UTTAR PRADESH,1959,869.2
WEST UTTAR PRADESH,1959,769.3
UTTARANCHAL,1959,1738.8
"HARYANA, DELHI & CHANDIGARH",1959,493.5
PUNJAB ,1959,699.7
HIMACHAL PRADESH,1959,1640.4
WEST RAJASTHAN ,1959,335.4
EAST  RAJASTHAN ,1959,776.7
EAST MADHYA PRADESH,1959,1302.2
"GUJARAT REGION, DADRA & NAGAR HAVELI",1959,1541.6
SAURASHTRA KUTCH & DIU,1959,1040.3
KOKAN & GOA,1959,3658.7
MADHYA MAHARASHTRA,1959,1118.9
MARATWADA ,1959,950.3
VIDARBHA,1959,1606.3
CHATTISGARH,1959,1540.5
COSTAL ANDHRA PRADESH,1959,967.8
TELENGANA,1959,1111.4
RAYALSEEMA,1959,592
TAMIL NADU & PONDICHERRY,1959,894.3
COASTAL KARNATAKA,1959,4330.9
NORTH INTERIOR KARNATAKA,1959,698.5
SOUTH INTERIOR KARNATAKA,1959,1277.6
KERALA,1959,3746.2
LAKSHADWEEP ,1959,1583.6
ANDAMAN & NICOBAR ISLANDS,1960,3025.1
ASSAM & MEGHALAYA,1960,2616.6
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1960,1800
SUB-HIMALAYAN W BENGAL & SIKKIM,1960,2610.4
GANGETIC WEST BENGAL,1960,1245.5
ORISSA,1960,1593
JHARKHAND,1960,1248.8
BIHAR ,1960,1249.2
EAST UTTAR PRADESH,1960,1170
WEST UTTAR PRADESH,1960,1129.1
UTTARANCHAL,1960,1540.1
"HARYANA, DELHI & CHANDIGARH",1960,722.2
PUNJAB ,1960,607
HIMACHAL PRADESH,1960,1115.3
WEST RAJASTHAN ,1960,217.8
EAST  RAJASTHAN ,1960,584.4
EAST MADHYA PRADESH,1960,1252
"GUJARAT REGION, DADRA & NAGAR HAVELI",1960,648.9
SAURASHTRA KUTCH & DIU,1960,347.7
KOKAN & GOA,1960,3069.8
MADHYA MAHARASHTRA,1960,885.9
MARATWADA ,1960,738.3
VIDARBHA,1960,1065.1
CHATTISGARH,1960,1339.6
COSTAL ANDHRA PRADESH,1960,966.7
TELENGANA,1960,776.6
RAYALSEEMA,1960,654.8
TAMIL NADU & PONDICHERRY,1960,1013.8
COASTAL KARNATAKA,1960,3504.3
NORTH INTERIOR KARNATAKA,1960,691.6
SOUTH INTERIOR KARNATAKA,1960,992
KERALA,1960,3385.6
LAKSHADWEEP ,1960,1901.8
ANDAMAN & NICOBAR ISLANDS,1961,3938.2
ASSAM & MEGHALAYA,1961,2241.4
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1961,1901.2
SUB-HIMALAYAN W BENGAL & SIKKIM,1961,2304.2
GANGETIC WEST BENGAL,1961,1290.5
ORISSA,1961,1945.2
JHARKHAND,1961,1562.3
BIHAR ,1961,1257.7
EAST UTTAR PRADESH,1961,1214.1
WEST UTTAR PRADESH,1961,1197.9
UTTARANCHAL,1961,1944.5
"HARYANA, DELHI & CHANDIGARH",1961,636
PUNJAB ,1961,690.1
HIMACHAL PRADESH,1961,1515.6
WEST RAJASTHAN ,1961,400.3
EAST  RAJASTHAN ,1961,873.8
EAST MADHYA PRADESH,1961,1598.7
"GUJARAT REGION, DADRA & NAGAR HAVELI",1961,940.8
SAURASHTRA KUTCH & DIU,1961,775.8
KOKAN & GOA,1961,3878.6
MADHYA MAHARASHTRA,1961,1070.6
MARATWADA ,1961,959
VIDARBHA,1961,1440.7
CHATTISGARH,1961,1918
COSTAL ANDHRA PRADESH,1961,1045.9
TELENGANA,1961,1078.9
RAYALSEEMA,1961,580.3
TAMIL NADU & PONDICHERRY,1961,910.8
COASTAL KARNATAKA,1961,5553.9
NORTH INTERIOR KARNATAKA,1961,748.6
SOUTH INTERIOR KARNATAKA,1961,1411
KERALA,1961,4257.9
LAKSHADWEEP ,1961,2235.3
ANDAMAN & NICOBAR ISLANDS,1962,2959.7
ASSAM & MEGHALAYA,1962,2460.2
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1962,1822.5
SUB-HIMALAYAN W BENGAL & SIKKIM,1962,2521.8
GANGETIC WEST BENGAL,1962,1173.4
ORISSA,1962,1346.6
JHARKHAND,1962,1048.1
BIHAR ,1962,1178
EAST UTTAR PRADESH,1962,1072
WEST UTTAR PRADESH,1962,795.9
UTTARANCHAL,1962,1638.3
"HARYANA, DELHI & CHANDIGARH",1962,513.4
PUNJAB ,1962,769.4
HIMACHAL PRADESH,1962,1393.6
WEST RAJASTHAN ,1962,262.4
EAST  RAJASTHAN ,1962,594.8
EAST MADHYA PRADESH,1962,1068.4
"GUJARAT REGION, DADRA & NAGAR HAVELI",1962,759.8
SAURASHTRA KUTCH & DIU,1962,384.6
KOKAN & GOA,1962,3435.3
MADHYA MAHARASHTRA,1962,899
MARATWADA ,1962,945.7
VIDARBHA,1962,1152.6
CHATTISGARH,1962,1140.8
COSTAL ANDHRA PRADESH,1962,1227.2
TELENGANA,1962,1117.3
RAYALSEEMA,1962,752.7
TAMIL NADU & PONDICHERRY,1962,941.6
COASTAL KARNATAKA,1962,4017.6
NORTH INTERIOR KARNATAKA,1962,838.9
SOUTH INTERIOR KARNATAKA,1962,1310.6
KERALA,1962,3375.8
LAKSHADWEEP ,1962,1586.6
ANDAMAN & NICOBAR ISLANDS,1963,2981.7
ASSAM & MEGHALAYA,1963,2722.7
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1963,2970
SUB-HIMALAYAN W BENGAL & SIKKIM,1963,2604.8
GANGETIC WEST BENGAL,1963,1289.6
ORISSA,1963,1562.1
JHARKHAND,1963,1314
BIHAR ,1963,1326.1
EAST UTTAR PRADESH,1963,996.5
WEST UTTAR PRADESH,1963,929.9
UTTARANCHAL,1963,1794.3
"HARYANA, DELHI & CHANDIGARH",1963,528.5
PUNJAB ,1963,476.1
HIMACHAL PRADESH,1963,1354.6
WEST RAJASTHAN ,1963,174.5
EAST  RAJASTHAN ,1963,571.9
EAST MADHYA PRADESH,1963,1120.2
"GUJARAT REGION, DADRA & NAGAR HAVELI",1963,994.1
SAURASHTRA KUTCH & DIU,1963,385.5
KOKAN & GOA,1963,3651.5
MADHYA MAHARASHTRA,1963,899.9
MARATWADA ,1963,1001.1
VIDARBHA,1963,1147.7
CHATTISGARH,1963,1384.6
COSTAL ANDHRA PRADESH,1963,919.9
TELENGANA,1963,995.6
RAYALSEEMA,1963,678
TAMIL NADU & PONDICHERRY,1963,1072.7
COASTAL KARNATAKA,1963,3171.5
NORTH INTERIOR KARNATAKA,1963,783.2
SOUTH INTERIOR KARNATAKA,1963,992.1
KERALA,1963,2651
LAKSHADWEEP ,1963,1902.1
ANDAMAN & NICOBAR ISLANDS,1964,3054.8
ASSAM & MEGHALAYA,1964,2952.3
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1964,2328.8
SUB-HIMALAYAN W BENGAL & SIKKIM,1964,2981.5
GANGETIC WEST BENGAL,1964,1278.4
ORISSA,1964,1354.5
JHARKHAND,1964,1151.3
BIHAR ,1964,1122.3
EAST UTTAR PRADESH,1964,1036.8
WEST UTTAR PRADESH,1964,998.2
UTTARANCHAL,1964,1762.3
"HARYANA, DELHI & CHANDIGARH",1964,719
PUNJAB ,1964,708.9
HIMACHAL PRADESH,1964,1354
WEST RAJASTHAN ,1964,337.4
EAST  RAJASTHAN ,1964,646.6
EAST MADHYA PRADESH,1964,1187.3
"GUJARAT REGION, DADRA & NAGAR HAVELI",1964,893.1
SAURASHTRA KUTCH & DIU,1964,558.3
KOKAN & GOA,1964,3255.4
MADHYA MAHARASHTRA,1964,945.6
MARATWADA ,1964,780.6
VIDARBHA,1964,1010.8
CHATTISGARH,1964,1520
COSTAL ANDHRA PRADESH,1964,978.6
TELENGANA,1964,907.1
RAYALSEEMA,1964,717.2
TAMIL NADU & PONDICHERRY,1964,910.6
COASTAL KARNATAKA,1964,3140.4
NORTH INTERIOR KARNATAKA,1964,899.8
SOUTH INTERIOR KARNATAKA,1964,1169.6
KERALA,1964,2869.2
LAKSHADWEEP ,1964,1651.7
ANDAMAN & NICOBAR ISLANDS,1965,3163.9
ASSAM & MEGHALAYA,1965,2604.8
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1965,2031
SUB-HIMALAYAN W BENGAL & SIKKIM,1965,2762.8
GANGETIC WEST BENGAL,1965,1263.9
ORISSA,1965,1174.6
JHARKHAND,1965,1013.1
BIHAR ,1965,1002.8
EAST UTTAR PRADESH,1965,685.5
WEST UTTAR PRADESH,1965,681.3
UTTARANCHAL,1965,1301.7
"HARYANA, DELHI & CHANDIGARH",1965,379.6
PUNJAB ,1965,423.3
HIMACHAL PRADESH,1965,1220.3
WEST RAJASTHAN ,1965,215.2
EAST  RAJASTHAN ,1965,419.9
EAST MADHYA PRADESH,1965,697.9
"GUJARAT REGION, DADRA & NAGAR HAVELI",1965,653.4
SAURASHTRA KUTCH & DIU,1965,421.2
KOKAN & GOA,1965,2859.5
MADHYA MAHARASHTRA,1965,790.6
MARATWADA ,1965,631.3
VIDARBHA,1965,743.6
CHATTISGARH,1965,949.7
COSTAL ANDHRA PRADESH,1965,734.7
TELENGANA,1965,770
RAYALSEEMA,1965,531
TAMIL NADU & PONDICHERRY,1965,926.8
COASTAL KARNATAKA,1965,2831.2
NORTH INTERIOR KARNATAKA,1965,632.8
SOUTH INTERIOR KARNATAKA,1965,734.7
KERALA,1965,2342.5
LAKSHADWEEP ,1965,1405.9
ANDAMAN & NICOBAR ISLANDS,1966,2701.2
ASSAM & MEGHALAYA,1966,3075.1
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1966,2478.7
SUB-HIMALAYAN W BENGAL & SIKKIM,1966,2515.4
GANGETIC WEST BENGAL,1966,1118.7
ORISSA,1966,1286.9
JHARKHAND,1966,880.5
BIHAR ,1966,767
EAST UTTAR PRADESH,1966,707.7
WEST UTTAR PRADESH,1966,755.8
UTTARANCHAL,1966,1461.1
"HARYANA, DELHI & CHANDIGARH",1966,707.9
PUNJAB ,1966,638.1
HIMACHAL PRADESH,1966,1371
WEST RAJASTHAN ,1966,252.9
EAST  RAJASTHAN ,1966,474.1
EAST MADHYA PRADESH,1966,849.3
"GUJARAT REGION, DADRA & NAGAR HAVELI",1966,692.8
SAURASHTRA KUTCH & DIU,1966,331.4
KOKAN & GOA,1966,2467.2
MADHYA MAHARASHTRA,1966,837.5
MARATWADA ,1966,747.2
VIDARBHA,1966,1002.8
CHATTISGARH,1966,1077.6
COSTAL ANDHRA PRADESH,1966,1034.4
TELENGANA,1966,860.5
RAYALSEEMA,1966,786.3
TAMIL NADU & PONDICHERRY,1966,1166.9
COASTAL KARNATAKA,1966,2976.7
NORTH INTERIOR KARNATAKA,1966,723.6
SOUTH INTERIOR KARNATAKA,1966,1013.2
KERALA,1966,2621.8
LAKSHADWEEP ,1966,1741.5
ANDAMAN & NICOBAR ISLANDS,1967,3216.6
ASSAM & MEGHALAYA,1967,2264.2
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1967,2230
SUB-HIMALAYAN W BENGAL & SIKKIM,1967,2860.5
GANGETIC WEST BENGAL,1967,1348.4
ORISSA,1967,1427.5
JHARKHAND,1967,1225.8
BIHAR ,1967,999.8
EAST UTTAR PRADESH,1967,1029.3
WEST UTTAR PRADESH,1967,1158.5
UTTARANCHAL,1967,1547.3
"HARYANA, DELHI & CHANDIGARH",1967,839.9
PUNJAB ,1967,680.3
HIMACHAL PRADESH,1967,1558.6
WEST RAJASTHAN ,1967,340.3
EAST  RAJASTHAN ,1967,760.2
EAST MADHYA PRADESH,1967,1407.8
"GUJARAT REGION, DADRA & NAGAR HAVELI",1967,934.2
SAURASHTRA KUTCH & DIU,1967,751.2
KOKAN & GOA,1967,2781.9
MADHYA MAHARASHTRA,1967,913.2
MARATWADA ,1967,759.8
VIDARBHA,1967,1128.2
CHATTISGARH,1967,1451.4
COSTAL ANDHRA PRADESH,1967,791
TELENGANA,1967,877.6
RAYALSEEMA,1967,645.9
TAMIL NADU & PONDICHERRY,1967,899.2
COASTAL KARNATAKA,1967,3181.7
NORTH INTERIOR KARNATAKA,1967,645.8
SOUTH INTERIOR KARNATAKA,1967,939.1
KERALA,1967,2569.1
LAKSHADWEEP ,1967,1287.3
ANDAMAN & NICOBAR ISLANDS,1968,2762.8
ASSAM & MEGHALAYA,1968,2722.3
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1968,2110
SUB-HIMALAYAN W BENGAL & SIKKIM,1968,3378.8
GANGETIC WEST BENGAL,1968,1597.8
ORISSA,1968,1464.1
JHARKHAND,1968,1294.2
BIHAR ,1968,1140
EAST UTTAR PRADESH,1968,839.9
WEST UTTAR PRADESH,1968,691.8
UTTARANCHAL,1968,1490.3
"HARYANA, DELHI & CHANDIGARH",1968,397.9
PUNJAB ,1968,536.2
HIMACHAL PRADESH,1968,1168.2
WEST RAJASTHAN ,1968,142
EAST  RAJASTHAN ,1968,515.8
EAST MADHYA PRADESH,1968,973.7
"GUJARAT REGION, DADRA & NAGAR HAVELI",1968,678.7
SAURASHTRA KUTCH & DIU,1968,333
KOKAN & GOA,1968,2397.2
MADHYA MAHARASHTRA,1968,824
MARATWADA ,1968,712.3
VIDARBHA,1968,922.9
CHATTISGARH,1968,1171.6
COSTAL ANDHRA PRADESH,1968,735.3
TELENGANA,1968,711.5
RAYALSEEMA,1968,574
TAMIL NADU & PONDICHERRY,1968,789.4
COASTAL KARNATAKA,1968,3461.1
NORTH INTERIOR KARNATAKA,1968,727.3
SOUTH INTERIOR KARNATAKA,1968,999.8
KERALA,1968,3392.7
LAKSHADWEEP ,1968,1344.4
ANDAMAN & NICOBAR ISLANDS,1969,2619.2
ASSAM & MEGHALAYA,1969,2551.3
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1969,3610.1
SUB-HIMALAYAN W BENGAL & SIKKIM,1969,2424.8
GANGETIC WEST BENGAL,1969,1404.1
ORISSA,1969,1283.1
JHARKHAND,1969,1158.6
BIHAR ,1969,1288.5
EAST UTTAR PRADESH,1969,1023.4
WEST UTTAR PRADESH,1969,877.3
UTTARANCHAL,1969,1633.8
"HARYANA, DELHI & CHANDIGARH",1969,483.1
PUNJAB ,1969,494.8
HIMACHAL PRADESH,1969,1127.7
WEST RAJASTHAN ,1969,118.9
EAST  RAJASTHAN ,1969,628.4
EAST MADHYA PRADESH,1969,1241.9
"GUJARAT REGION, DADRA & NAGAR HAVELI",1969,786.6
SAURASHTRA KUTCH & DIU,1969,295.8
KOKAN & GOA,1969,3160.7
MADHYA MAHARASHTRA,1969,984.2
MARATWADA ,1969,824.6
VIDARBHA,1969,992.9
CHATTISGARH,1969,1143.4
COSTAL ANDHRA PRADESH,1969,1284.1
TELENGANA,1969,970.6
RAYALSEEMA,1969,707.1
TAMIL NADU & PONDICHERRY,1969,961.8
COASTAL KARNATAKA,1969,3342.9
NORTH INTERIOR KARNATAKA,1969,729.3
SOUTH INTERIOR KARNATAKA,1969,1104.5
KERALA,1969,2664.9
LAKSHADWEEP ,1969,1416.1
ANDAMAN & NICOBAR ISLANDS,1970,3370.9
ASSAM & MEGHALAYA,1970,3428.5
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1970,4316.3
SUB-HIMALAYAN W BENGAL & SIKKIM,1970,2702.2
GANGETIC WEST BENGAL,1970,1648.4
ORISSA,1970,1410.2
JHARKHAND,1970,1292.3
BIHAR ,1970,1074.6
EAST UTTAR PRADESH,1970,1132.3
WEST UTTAR PRADESH,1970,866.4
UTTARANCHAL,1970,1288
"HARYANA, DELHI & CHANDIGARH",1970,533.8
PUNJAB ,1970,650.6
HIMACHAL PRADESH,1970,1082.7
WEST RAJASTHAN ,1970,355.7
EAST  RAJASTHAN ,1970,716.8
EAST MADHYA PRADESH,1970,1342.3
"GUJARAT REGION, DADRA & NAGAR HAVELI",1970,1360.7
SAURASHTRA KUTCH & DIU,1970,835.5
KOKAN & GOA,1970,3621
MADHYA MAHARASHTRA,1970,941.2
MARATWADA ,1970,910.8
VIDARBHA,1970,1240.5
CHATTISGARH,1970,1512.2
COSTAL ANDHRA PRADESH,1970,951.7
TELENGANA,1970,953.9
